ts.IDnum.w1,id,ts.endDateTime.w1,ts.exclusion.age.w1,outgoing1,findfault1,thorough1,nervous1,imagination1,reserved1,trusting1,lazy1,relaxed1,unartistic1,talkative1,original1,quarrels1,tense1,ingenious1,depressed1,enthusiasm1,forgiving1,assertive1,disorganized1,emotionallystable1,inventive1,cold1,perseveres1,moody1,artistic1,shy1,efficient1,calm1,routine1,plans1,reflect1,cooperate1,distracted1,sophisticated1,reliable1,worries1,quiet1,rude1,careless1,helpful1,considerate1,energy1,curious1,talkative2,findfault2,thorough2,depressed2,original2,reserved2,careless2,energy2,quarrels2,tense2,ingenious2,enthusiasm2,forgiving2,disorganized2,trusting2,emotionallystable2,inventive2,assertive2,cold2,perseveres2,connected2,moody2,artistic2,shy2,efficient2,calm2,routine2,plans2,nervous2,reflect2,unartistic2,cooperate2,distracted2,sophisticated2,helpful2,likesothers2,imagination2,outgoing2,lazy2,relaxed2,reliable2,worries2,quiet2,rude2,considerate2,curious2,talkative3,findfault3,thorough3,depressed3,original3,reserved3,careless3,energy3,quarrels3,tense3,ingenious3,enthusiasm3,forgiving3,disorganized3,trusting3,emotionallystable3,inventive3,assertive3,cold3,perseveres3,moody3,artistic3,shy3,efficient3,calm3,routine3,plans3,nervous3,reflect3,unartistic3,cooperate3,distracted3,sophisticated3,helpful3,relaxed3,reliable3,curious3,worries3,imagination3,quiet3,lazy3,considerate3,outgoing3,rude3,talkative_a,findfault_a,thorough_a,depressed_a,original_a,reserved_a,helpful_a,careless_a,relaxed_a,curious_a,energy_a,quarrels_a,reliable_a,tense_a,ingenious_a,enthusiasm_a,forgiving_a,disorganized_a,worries_a,imagination_a,quiet_a,trusting_a,lazy_a,emotionallystable_a,inventive_a,assertive_a,cold_a,perseveres_a,moody_a,artistic_a,shy_a,considerate_a,efficient_a,calm_a,routine_a,outgoing_a,rude_a,plans_a,nervous_a,reflect_a,unartistic_a,cooperate_a,distracted_a,sophisticated_a,talkative_b,findfault_b,thorough_b,depressed_b,original_b,reserved_b,helpful_b,careless_b,relaxed_b,curious_b,energy_b,quarrels_b,reliable_b,tense_b,ingenious_b,enthusiasm_b,forgiving_b,disorganized_b,worries_b,imagination_b,quiet_b,trusting_b,lazy_b,emotionallystable_b,inventive_b,assertive_b,cold_b,perseveres_b,moody_b,artistic_b,shy_b,considerate_b,efficient_b,calm_b,routine_b,outgoing_b,rude_b,plans_b,nervous_b,reflect_b,unartistic_b,cooperate_b,distracted_b,sophisticated_b,talkative_c,findfault_c,thorough_c,depressed_c,original_c,reserved_c,helpful_c,careless_c,relaxed_c,curious_c,energy_c,quarrels_c,reliable_c,tense_c,ingenious_c,enthusiasm_c,forgiving_c,disorganized_c,worries_c,imagination_c,quiet_c,trusting_c,lazy_c,emotionallystable_c,inventive_c,assertive_c,cold_c,perseveres_c,moody_c,artistic_c,shy_c,considerate_c,efficient_c,calm_c,routine_c,outgoing_c,rude_c,plans_c,nervous_c,reflect_c,unartistic_c,cooperate_c,distracted_c,sophisticated_c,talkative_d,findfault_d,thorough_d,depressed_d,original_d,reserved_d,helpful_d,careless_d,relaxed_d,curious_d,energy_d,quarrels_d,reliable_d,tense_d,ingenious_d,enthusiasm_d,forgiving_d,disorganized_d,worries_d,imagination_d,quiet_d,trusting_d,lazy_d,emotionallystable_d,inventive_d,assertive_d,cold_d,perseveres_d,moody_d,artistic_d,shy_d,considerate_d,efficient_d,calm_d,routine_d,outgoing_d,rude_d,plans_d,nervous_d,reflect_d,unartistic_d,cooperate_d,distracted_d,sophisticated_d
36000,100,2/15/13 14:07,2/15/13 15:51,3,3,14,13,11,14,13,5,11,4,10,11,1,12,12,3,12,15,4,13,14,9,3,12,3,3,15,6,10,8,12,13,15,15,10,15,13,14,1,11,13,15,9,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36030,1,10/9/12 11:56,10/9/12 12:56,11,13,8,5,12,1,13,5,13,3,11,15,2,11,14,9,12,15,7,15,7,10,1,10,3,15,6,15,8,1,1,13,8,10,12,10,4,6,1,14,11,14,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,12,10,8,13,4,12,9,2,6,10,10,13,12,14,7,11,10,6,6,11,15,4,13,10,2,7,11,12,1,9,13,13,14,7,10,12,10,14,8,11,13,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36060,2,10/12/12 12:33,10/12/12 13:38,12,9,12,4,14,6,12,10,10,2,12,14,2,4,7,2,10,14,3,10,12,13,3,9,4,15,9,10,12,11,9,9,14,15,13,12,5,6,9,10,12,9,13,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36090,4,10/9/12 11:47,10/9/12 11:50,15,10,12,1,15,1,15,10,11,1,15,15,3,11,12,1,15,15,12,12,12,11,5,11,11,15,2,14,14,1,5,13,13,12,15,15,10,1,4,12,10,11,15,14,15,4,13,1,13,3,11,14,4,3,13,14,12,5,13,14,13,14,6,14,13,6,13,6,13,13,6,10,4,13,3,14,11,14,13,13,13,12,13,12,14,5,NA,7,10,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,2,12,2,13,4,12,12,12,12,12,4,12,5,13,13,12,13,4,13,NA,13,6,14,12,13,5,13,4,12,4,13,13,13,3,14,4,13,6,13,4,14,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36120,5,10/12/12 13:46,10/12/12 14:32,13,4,13,7,11,3,12,5,7,8,14,10,5,13,10,3,11,12,6,12,13,8,5,11,4,5,4,11,12,11,5,7,12,12,10,11,10,4,4,7,11,11,12,12,12,9,11,4,11,11,6,10,4,10,5,9,12,3,11,13,5,4,6,11,11,9,12,7,11,11,10,4,9,11,11,12,7,9,12,12,10,11,8,11,10,5,4,11,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,11,11,3,11,4,11,10,11,12,10,5,12,12,11,12,12,10,6,10,11,11,5,10,11,6,4,10,6,11,11,11,11,11,6,13,10,5,9,11,9,11,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36150,6,10/9/12 13:05,10/9/12 14:01,8,4,12,13,12,14,14,14,4,5,4,10,1,9,12,11,8,14,1,5,6,9,2,7,12,13,15,10,5,10,10,11,11,10,11,13,15,12,3,9,14,14,4,12,9,3,12,7,8,13,9,3,1,9,10,8,13,10,14,2,8,3,2,10,12,13,11,14,13,6,9,12,11,11,3,12,11,13,15,11,11,9,13,3,14,15,11,2,14,14,11,2,13,9,8,10,5,2,1,9,11,9,8,4,14,9,10,2,2,12,13,15,14,13,6,14,6,10,12,3,13,7,10,14,4,13,15,13,13,12,14,15,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,12,10,9,13,14,11,3,13,9,1,14,7,11,10,14,9,15,12,10,11,14,5,9,2,2,10,14,11,15,15,12,4,11,8,2,12,11,10,3,12,13,11,6,4,11,9,9,12,14,11,4,12,7,1,13,12,11,9,13,11,15,14,14,13,12,5,8,1,3,11,13,14,15,14,9,5,12,8,2,10,14,10,2,14,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36180,7,10/9/12 14:45,10/9/12 14:49,9,10,10,6,7,12,10,12,10,7,10,11,5,8,13,4,10,10,12,12,12,12,10,10,7,9,10,9,12,5,12,12,7,10,9,10,5,9,7,9,11,9,8,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,10,4,11,10,10,8,11,13,9,5,9,6,13,10,11,13,6,8,9,9,13,13,12,12,9,9,7,11,10,9,11,13,6,8,8,10,7,12,9,8,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,8,3,10,9,9,10,12,12,10,6,8,6,12,8,10,12,6,9,8,9,13,11,10,9,8,8,8,10,8,8,10,10,4,9,8,9,6,10,6,8,7,12
36210,8,10/13/12 10:53,10/13/12 11:37,11,12,15,15,15,9,10,9,3,1,15,13,2,15,11,13,10,7,13,9,11,11,5,10,11,15,11,11,8,12,15,11,7,13,15,12,15,1,5,4,11,11,9,15,15,11,15,12,13,8,1,8,1,13,11,11,9,1,6,10,10,13,1,15,10,9,15,9,8,6,6,15,10,12,1,7,11,15,15,15,15,13,3,7,15,15,1,1,14,15,15,11,13,12,13,11,4,8,8,11,11,12,8,8,8,8,12,12,4,9,13,15,11,10,8,8,11,15,13,1,8,11,15,12,6,13,13,15,15,1,1,9,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36240,10,10/16/12 15:48,10/16/12 16:43,10,9,5,14,3,3,10,11,1,7,10,5,1,13,1,13,6,11,1,13,1,4,11,1,13,11,9,5,3,6,3,8,10,11,4,4,15,7,12,9,9,10,6,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36270,11,10/12/12 9:52,10/12/12 10:29,14,7,13,5,3,1,14,5,9,5,13,10,9,9,11,1,13,14,12,5,12,9,2,8,11,11,3,9,10,10,14,10,14,9,12,10,10,2,10,6,14,14,14,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
